model,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,algorithm,seed
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,112,9,LSharp_Nothing_SepSeq,-1441169838
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,137,12,LSharp_Nothing_SepSeq,-1481821400
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,189,21,LSharp_Nothing_SepSeq,-1008447441
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,487,146,71,10,LSharp_Nothing_SepSeq,1505627470
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,479,146,290,20,LSharp_Nothing_SepSeq,825212163
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,122,17,LSharp_Nothing_SepSeq,-1222012319
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,492,146,305,22,LSharp_Nothing_SepSeq,-1513545526
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,146,237,27,LSharp_Nothing_SepSeq,-723571459
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,483,147,155,18,LSharp_Nothing_SepSeq,-1296548246
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,100,12,LSharp_Nothing_SepSeq,216448009
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,498,147,139,10,LSharp_Nothing_SepSeq,2059818115
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,146,136,11,LSharp_Nothing_SepSeq,-245851082
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,520,149,180,15,LSharp_Nothing_SepSeq,237836788
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,146,32,7,LSharp_Nothing_SepSeq,-1281334366
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,404,131,554,36,LSharp_Nothing_SepSeq,785656376
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,420,134,159,13,LSharp_Nothing_SepSeq,876835388
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,513,148,99,6,LSharp_Nothing_SepSeq,-1066838779
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,488,147,191,21,LSharp_Nothing_SepSeq,1690034135
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,484,147,261,29,LSharp_Nothing_SepSeq,1598564549
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,487,147,102,8,LSharp_Nothing_SepSeq,-1074832328
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,471,144,126,10,LSharp_Nothing_SepSeq,-805230760
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,484,146,52,5,LSharp_Nothing_SepSeq,2112938409
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,36,8,LSharp_Nothing_SepSeq,241815939
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,511,149,96,7,LSharp_Nothing_SepSeq,324186719
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,488,147,344,23,LSharp_Nothing_SepSeq,795005543
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,497,147,56,8,LSharp_Nothing_SepSeq,892669139
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,146,206,17,LSharp_Nothing_SepSeq,784960814
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,528,150,155,14,LSharp_Nothing_SepSeq,763332715
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,146,466,37,LSharp_Nothing_SepSeq,-531426272
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,476,145,91,12,LSharp_Nothing_SepSeq,1427265159
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,492,148,155,14,LSharp_Nothing_SepSeq,95064042
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,407,132,680,62,LSharp_Nothing_SepSeq,-1905688747
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,476,146,109,15,LSharp_Nothing_SepSeq,2039719373
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,490,149,36,5,LSharp_Nothing_SepSeq,732561520
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,422,132,214,19,LSharp_Nothing_SepSeq,1009251719
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,483,146,173,16,LSharp_Nothing_SepSeq,1828447048
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,408,132,254,20,LSharp_Nothing_SepSeq,-1343739519
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,145,428,38,LSharp_Nothing_SepSeq,-1330087926
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,481,147,36,3,LSharp_Nothing_SepSeq,-1123559087
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,495,145,206,18,LSharp_Nothing_SepSeq,1837937625
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,481,146,66,4,LSharp_Nothing_SepSeq,1565421478
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,486,148,215,17,LSharp_Nothing_SepSeq,1955779720
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,406,132,160,14,LSharp_Nothing_SepSeq,47270767
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,514,149,271,20,LSharp_Nothing_SepSeq,-1757305451
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,498,148,383,28,LSharp_Nothing_SepSeq,976343238
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,146,84,8,LSharp_Nothing_SepSeq,1224540177
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,479,146,579,38,LSharp_Nothing_SepSeq,-406684171
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,22,6,LSharp_Nothing_SepSeq,-333516300
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,410,132,783,51,LSharp_Nothing_SepSeq,-565962186
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,483,146,46,9,LSharp_Nothing_SepSeq,-913925036
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,494,148,233,18,LSharp_Nothing_SepSeq,299947916
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,478,146,126,7,LSharp_Nothing_SepSeq,1779141109
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,486,148,21,3,LSharp_Nothing_SepSeq,-1936959462
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,491,148,21,2,LSharp_Nothing_SepSeq,62940204
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,146,146,10,LSharp_Nothing_SepSeq,-1434270148
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,482,147,13,2,LSharp_Nothing_SepSeq,1560326562
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,486,147,130,12,LSharp_Nothing_SepSeq,-320655994
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,495,147,199,17,LSharp_Nothing_SepSeq,1058385565
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,476,146,153,16,LSharp_Nothing_SepSeq,1804758504
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,488,148,83,10,LSharp_Nothing_SepSeq,-952956994
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,412,130,84,9,LSharp_Nothing_SepSeq,-1009618639
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,487,147,68,10,LSharp_Nothing_SepSeq,-482988362
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,146,11,2,LSharp_Nothing_SepSeq,-437801358
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,485,147,307,24,LSharp_Nothing_SepSeq,124102401
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,312,26,LSharp_Nothing_SepSeq,908384738
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,502,149,145,10,LSharp_Nothing_SepSeq,1161489270
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,406,131,91,6,LSharp_Nothing_SepSeq,966929124
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,485,147,16,2,LSharp_Nothing_SepSeq,-1222492655
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,478,146,118,15,LSharp_Nothing_SepSeq,328516549
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,490,146,54,7,LSharp_Nothing_SepSeq,-1189507685
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,492,147,170,17,LSharp_Nothing_SepSeq,1569684527
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,483,147,186,23,LSharp_Nothing_SepSeq,1007423985
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,481,147,319,28,LSharp_Nothing_SepSeq,1420671264
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,487,146,101,10,LSharp_Nothing_SepSeq,697300668
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,146,40,5,LSharp_Nothing_SepSeq,1329208753
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,481,146,25,5,LSharp_Nothing_SepSeq,-1483474432
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,488,146,96,8,LSharp_Nothing_SepSeq,732091198
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,524,148,112,6,LSharp_Nothing_SepSeq,-268249968
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,500,149,197,15,LSharp_Nothing_SepSeq,1729676256
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,529,148,123,5,LSharp_Nothing_SepSeq,1424276780
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,147,134,16,LSharp_Nothing_SepSeq,51183473
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,490,147,111,9,LSharp_Nothing_SepSeq,810261532
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,485,147,120,10,LSharp_Nothing_SepSeq,125687358
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,508,148,167,10,LSharp_Nothing_SepSeq,-1502397361
